epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,276.231,1.28214,0.73208,1.08616,0.80055,0.80888,0.90045,0.48729,1.94547,0.97972,1.39239,0.000307,0.000307,0.000307
44,281.088,1.16229,0.68075,1.05063,0.77284,0.81707,0.88752,0.44727,2.0183,0.9574,1.4586,0.0002905,0.0002905,0.0002905
45,287.93,1.21794,0.69815,1.05172,0.71979,0.86833,0.86669,0.44147,2.0824,0.95462,1.55062,0.000274,0.000274,0.000274
46,293.238,1.23471,0.70086,1.06317,0.74163,0.88998,0.89165,0.42393,2.12026,0.95097,1.57484,0.0002575,0.0002575,0.0002575
47,299.357,1.24073,0.73637,1.06222,0.75005,0.88074,0.89584,0.4258,2.09532,0.97694,1.51434,0.000241,0.000241,0.000241
48,304.792,1.19674,0.68374,1.04945,0.64825,0.88772,0.85744,0.40492,2.04326,0.99974,1.47804,0.0002245,0.0002245,0.0002245
49,309.784,1.22786,0.68912,1.04449,0.65389,0.94167,0.88409,0.41556,2.01789,0.98754,1.47576,0.000208,0.000208,0.000208
50,315.718,1.16218,0.68577,1.05806,0.6737,0.92845,0.885,0.42418,2.00985,0.96836,1.46984,0.0001915,0.0001915,0.0001915
51,365.1,1.29175,0.73596,1.12811,0.86986,0.81684,0.92943,0.44798,2.00367,0.95931,1.46116,0.000175,0.000175,0.000175
52,380.163,1.22987,0.69545,1.06712,0.86668,0.83065,0.92967,0.45607,1.93595,0.88194,1.42924,0.0001585,0.0001585,0.0001585
53,391.094,1.22336,0.69171,1.07736,0.81939,0.81399,0.89292,0.45135,1.91272,0.86095,1.42268,0.000142,0.000142,0.000142
54,396.664,1.19271,0.6754,1.03153,0.85657,0.8619,0.93541,0.46593,1.90711,0.85451,1.42809,0.0001255,0.0001255,0.0001255
55,404.786,1.20787,0.66595,1.09587,0.82259,0.81566,0.92827,0.44805,1.91409,0.8646,1.426,0.000109,0.000109,0.000109
56,409.969,1.16083,0.66351,1.05196,0.80906,0.86266,0.91911,0.44729,1.89498,0.89007,1.41085,9.25e-05,9.25e-05,9.25e-05
57,413.69,1.18176,0.64858,1.07819,0.80439,0.87906,0.92219,0.44786,1.89283,0.9008,1.39836,7.6e-05,7.6e-05,7.6e-05
58,419.165,1.16264,0.64722,1.06027,0.80271,0.88478,0.92509,0.45529,1.88771,0.90963,1.37889,5.95e-05,5.95e-05,5.95e-05
59,422.782,1.10535,0.62402,1.03719,0.80342,0.8867,0.92337,0.45551,1.88814,0.90765,1.38488,4.3e-05,4.3e-05,4.3e-05
60,426.571,1.15285,0.63714,1.06278,0.8042,0.88546,0.93412,0.45944,1.89298,0.91271,1.38113,2.65e-05,2.65e-05,2.65e-05
